"InventoryID","ProjectID","CoCCode","HouseholdType","Availability","UnitInventory","BedInventory","CHVetBedInventory","YouthVetBedInventory","VetBedInventory","CHYouthBedInventory","YouthBedInventory","CHBedInventory","OtherBedInventory","ESBedType","InventoryStartDate","InventoryEndDate","DateCreated","DateUpdated","UserID","DateDeleted","ExportID"
"3145","1418","XX-501",1,,0,8,0,0,0,0,0,0,8,,2019-10-01,2020-01-27,2020-10-23 10:41:47,2021-01-10 12:47:47,"23",,"1036"
"3146","1418","XX-501",3,,7,33,0,0,0,0,0,0,33,,2019-10-01,2020-01-27,2020-10-23 10:42:46,2021-01-10 12:48:15,"23",,"1036"
"3606","1418","XX-501",3,,5,19,0,0,0,0,0,0,19,,2021-01-27,2021-01-28,2021-05-18 11:31:42,2021-05-18 11:31:42,"27",,"1036"
"2664","1418","XX-501",1,,0,8,0,0,0,0,0,0,8,,2020-01-31,2020-09-30,2020-06-17 10:46:52,2020-10-23 10:58:40,"27",,"1036"
"4134","1418","XX-501",1,,0,9,0,0,0,0,0,0,9,,2020-10-10,2021-01-26,2021-11-16 13:04:47,2021-11-16 13:04:47,"29",,"1036"
"4133","1418","XX-501",3,,6,22,0,0,0,0,0,0,22,,2021-01-29,2021-09-30,2021-11-16 13:03:38,2021-11-16 13:03:38,"29",,"1036"
"4132","1418","XX-501",3,,6,22,0,0,0,0,0,0,22,,2020-10-01,2021-01-26,2021-11-16 13:02:37,2021-11-16 13:02:37,"29",,"1036"
"1884","1435","XX-501",1,,0,6,0,0,0,0,0,0,6,,2018-01-31,2021-01-26,2018-04-17 14:00:17,2022-01-27 06:52:39,"27",,"1036"
"4340","1435","XX-501",1,,0,6,0,0,0,0,0,0,6,,2021-01-27,,2022-01-27 06:53:05,2022-01-27 06:53:05,"27",,"1036"
"2020","1451","XX-501",3,,5,15,0,0,15,0,0,0,0,,2018-10-01,2020-09-30,2018-09-11 13:10:57,2021-05-03 13:08:47,"18",,"1036"
"4328","1606","XX-501",3,,1,9,0,0,0,0,0,0,9,,2021-01-29,2021-09-30,2022-01-26 13:48:25,2022-01-26 13:48:25,"27",,"1036"
"4329","1606","XX-501",1,,0,3,0,0,0,0,0,0,3,,2021-01-29,2021-09-30,2022-01-26 13:48:49,2022-01-26 13:48:49,"27",,"1036"
"3629","1606","XX-501",1,,0,0,0,0,0,0,0,0,0,,2021-01-27,2021-01-28,2021-05-18 11:48:39,2021-05-18 11:48:39,"27",,"1036"
"3628","1606","XX-501",3,,0,0,0,0,0,0,0,0,0,,2021-01-27,2021-01-28,2021-05-18 11:48:23,2021-05-18 11:48:23,"27",,"1036"
